transaction_id,transaction_date,branch_name,product_category,product_name,quantity,price,total_amount,payment_method,customer_age,customer_gender,loyalty_member,satisfaction_score,is_weekend,transaction_year,transaction_month,transaction_day,transaction_hour,day_of_week
TXN-10000,2024-01-01 10:55:53,Financial District,Hot Coffee,Americano,1,3.5,3.5,Cash,49.0,Male,0,3.0,0,2024,1,1,10,Monday
TXN-10001,2024-01-01 12:06:25,Downtown,Cold Coffee,Frappuccino,1,5.5,5.5,Credit Card,32.0,Male,1,3.0,0,2024,1,1,12,Monday
TXN-10002,2024-01-01 13:36:24,Downtown,Tea & Beverages,Green Tea,1,3.25,3.25,Credit Card,69.0,Male,1,4.0,0,2024,1,1,13,Monday
TXN-10003,2024-01-01 13:38:35,Downtown,Cold Coffee,Cold Brew,1,4.8,4.8,Mobile Pay,38.0,Male,0,5.0,0,2024,1,1,13,Monday
TXN-10004,2024-01-01 16:58:07,Downtown,Cold Coffee,Iced Americano,2,3.75,7.5,Mobile Pay,35.0,Female,0,5.0,0,2024,1,1,16,Monday
TXN-10005,2024-01-01 17:52:03,Downtown,Hot Coffee,Cappuccino,1,4.5,4.5,Mobile Pay,47.0,Male,0,4.0,0,2024,1,1,17,Monday
TXN-10006,2024-01-01 18:22:30,Airport Terminal,Hot Coffee,Americano,1,3.5,3.5,Credit Card,30.0,Male,1,5.0,0,2024,1,1,18,Monday
TXN-10007,2024-01-01 18:47:41,Financial District,Tea & Beverages,Chai Latte,1,4.5,4.5,Mobile Pay,41.0,Female,1,4.0,0,2024,1,1,18,Monday
TXN-10008,2024-01-01 18:55:48,Financial District,Tea & Beverages,Matcha Latte,2,5.0,10.0,Credit Card,47.0,Female,0,4.0,0,2024,1,1,18,Monday
TXN-10009,2024-01-01 19:37:20,Suburban Mall,Hot Coffee,Caffè Latte,1,4.75,4.75,Cash,19.0,Male,0,5.0,0,2024,1,1,19,Monday
TXN-10010,2024-01-01 19:48:15,Downtown,Tea & Beverages,Green Tea,1,3.25,3.25,Credit Card,36.0,Female,1,5.0,0,2024,1,1,19,Monday
TXN-10011,2024-01-01 21:10:18,Airport Terminal,Hot Coffee,Espresso,1,3.0,3.0,Credit Card,64.0,Female,1,3.0,0,2024,1,1,21,Monday
TXN-10012,2024-01-01 23:30:54,University Campus,Hot Coffee,Caffè Latte,1,4.75,4.75,Mobile Pay,61.0,Female,0,4.0,0,2024,1,1,23,Monday
TXN-10013,2024-01-02 01:01:33,Downtown,Sandwiches & Wraps,Turkey & Cheese Sandwich,1,7.5,7.5,Mobile Pay,64.0,Female,0,4.0,0,2024,1,2,1,Tuesday
TXN-10014,2024-01-02 01:36:33,Financial District,Cold Coffee,Iced Americano,1,3.75,3.75,Mobile Pay,42.0,Female,1,3.0,0,2024,1,2,1,Tuesday
TXN-10015,2024-01-02 04:42:35,University Campus,Hot Coffee,Espresso,1,3.0,3.0,Credit Card,67.0,Female,0,5.0,0,2024,1,2,4,Tuesday
TXN-10016,2024-01-02 06:25:56,Airport Terminal,Bakery & Pastry,Chocolate Muffin,2,3.8,7.6,Credit Card,31.0,Female,0,4.0,0,2024,1,2,6,Tuesday
TXN-10017,2024-01-02 06:34:38,Financial District,Tea & Beverages,Earl Grey,1,3.25,3.25,Gift Card,23.0,Female,0,3.0,0,2024,1,2,6,Tuesday
TXN-10018,2024-01-02 08:19:41,Suburban Mall,Merchandise,Coffee Beans 250g,1,5.0,5.0,Mobile Pay,29.0,Male,1,3.0,0,2024,1,2,8,Tuesday
TXN-10019,2024-01-02 08:25:39,Downtown,Cold Coffee,Cold Brew,1,4.8,4.8,Mobile Pay,37.0,Female,1,5.0,0,2024,1,2,8,Tuesday
TXN-10020,2024-01-02 08:47:13,Airport Terminal,Cold Coffee,Cold Brew,4,4.8,19.2,Credit Card,40.0,Male,0,5.0,0,2024,1,2,8,Tuesday
TXN-10021,2024-01-02 09:00:34,Downtown,Bakery & Pastry,Butter Croissant,1,3.5,3.5,Credit Card,47.0,Male,1,5.0,0,2024,1,2,9,Tuesday
TXN-10022,2024-01-02 13:14:15,Airport Terminal,Sandwiches & Wraps,Avocado Toast,2,8.25,16.5,Mobile Pay,47.0,Male,0,2.0,0,2024,1,2,13,Tuesday
TXN-10023,2024-01-02 16:05:56,Suburban Mall,Hot Coffee,Caramel Macchiato,1,5.25,5.25,Mobile Pay,55.0,Male,0,5.0,0,2024,1,2,16,Tuesday
TXN-10024,2024-01-02 19:39:24,Suburban Mall,Cold Coffee,Cold Brew,1,4.8,4.8,Credit Card,47.0,Female,1,4.0,0,2024,1,2,19,Tuesday
TXN-10025,2024-01-02 20:39:35,Financial District,Hot Coffee,Caffè Latte,1,4.75,4.75,Cash,58.0,Female,0,4.0,0,2024,1,2,20,Tuesday
TXN-10026,2024-01-03 01:03:35,Downtown,Tea & Beverages,Green Tea,1,3.25,3.25,Mobile Pay,47.0,Male,0,5.0,0,2024,1,3,1,Wednesday
TXN-10027,2024-01-03 02:51:02,Downtown,Tea & Beverages,Earl Grey,3,3.25,9.75,Credit Card,53.0,Female,0,3.0,0,2024,1,3,2,Wednesday
TXN-10028,2024-01-03 06:56:15,Downtown,Tea & Beverages,Matcha Latte,3,5.0,15.0,Credit Card,66.0,Non-Binary,1,4.0,0,2024,1,3,6,Wednesday
TXN-10029,2024-01-03 14:34:41,Downtown,Tea & Beverages,Green Tea,1,3.25,3.25,Credit Card,51.0,Male,0,2.0,0,2024,1,3,14,Wednesday
